AxisNo TryNo NewCalOff ContactTorque AveTorque Ip Kv ContactPoint
1 0 4.40761 1.01884 0.498138 -0.196916 0.29126 0
1 1 4.40684 1.01488 0.499994 -0.210791 0.301555 -7.94258
1 2 4.40905 1.03545 0.508731 -0.178767 0.286315 -7.94359
2 0 2.91788 2.09629 1.49626 0.424054 0.30602 0
2 1 2.92507 2.07317 1.47385 0.388168 0.314071 -2.05259
2 2 2.92123 2.07801 1.4802 0.406216 0.307079 -2.05099
3 0 0.0150533 1.78319 1.27575 1.00946 0.302909 0
3 1 -0.000189364 1.75324 1.24587 0.969436 0.309497 -26.9334
3 2 0.00249088 1.75278 1.24446 0.972017 0.306906 -26.9346
4 0 5.96748 -0.775217 -0.36019 -0.279478 0.17443 0
4 1 5.96614 -0.76923 -0.354091 -0.27969 0.171291 33.0068
4 2 5.96556 -0.764732 -0.349779 -0.275948 0.171008 33.0074
5 0 2.93142 0.618389 0.306754 0.212343 0.0762361 0
5 1 2.94941 0.62137 0.308898 0.218761 0.075004 -2.59211
5 2 2.95807 0.622411 0.30994 0.219065 0.0752167 -2.5981
6 0 5.73192 0.420905 0.265013 0.159579 0.0572057 0
6 1 5.733 0.422145 0.265037 0.148369 0.0633007 -51.0341
6 2 5.72845 0.418877 0.261258 0.151531 0.0595348 -51.0282
